Ranking,Código do Município,Nome do Município,UF,População
1,"3550308","São Paulo"," São Paulo",11451245
2,"3304557","Rio de Janeiro"," Rio de Janeiro",6211423
3,"5300108","Brasília"," Distrito Federal",2817068
4,"2304400","Fortaleza"," Ceará",2428678
5,"2927408","Salvador"," Bahia",2418005
6,"3106200","Belo Horizonte"," Minas Gerais",2315560
7,"1302603","Manaus"," Amazonas",2063547
8,"4106902","Curitiba"," Paraná",1773733
9°,"2611606","Recife"," Pernambuco",1488920
10,"5208707","Goiânia"," Goiás",1437237
11,"4314902","Porto Alegre"," Rio Grande do Sul",1332570
12,"1501402","Belém"," Pará",1303309
13,"3518800","Guarulhos"," São Paulo",1291784
14,"3509502","Campinas"," São Paulo",1138309
15,"2111300","São Luís"," Maranhão",1037775
16,"2704302","Maceió"," Alagoas",957916
17,"5002704","Campo Grande"," Mato Grosso do Sul",897938
18,"3304904","São Gonçalo"," Rio de Janeiro",896744
19,"2211001","Teresina"," Piauí",866300
20,"2507507","João Pessoa"," Paraíba",833932
21,"3548708","São Bernardo do Campo"," São Paulo",810729
22,"3301702","Duque de Caxias"," Rio de Janeiro",808252
23,"3303500","Nova Iguaçu"," Rio de Janeiro",785882
24,"2408102","Natal"," Rio Grande do Norte",751300
25,"3547809","Santo André"," São Paulo",748919
26,"3534401","Osasco"," São Paulo",743432
27,"3552205","Sorocaba"," São Paulo",723574
28,"3170206","Uberlândia"," Minas Gerais",713232
29,"3543402","Ribeirão Preto"," São Paulo",698259
30,"3549904","São José dos Campos"," São Paulo",697428
31,"5103403","Cuiabá"," Mato Grosso",650912
32,"2607901","Jaboatão dos Guararapes"," Pernambuco",643759
33,"3118601","Contagem"," Minas Gerais",621865
34,"4209102","Joinville"," Santa Catarina",616323
35,"2910800","Feira de Santana"," Bahia",616279
36,"2800308","Aracaju"," Sergipe",602757
37,"4113700","Londrina"," Paraná",555937
38,"3136702","Juiz de Fora"," Minas Gerais",540756
39,"4205407","Florianópolis"," Santa Catarina",537213
40,"5201405","Aparecida de Goiânia"," Goiás",527550
41,"3205002","Serra"," Espírito Santo",520649
42,"3301009","Campos dos Goytacazes"," Rio de Janeiro",483551
43,"3300456","Belford Roxo"," Rio de Janeiro",483087
44,"3303302","Niterói"," Rio de Janeiro",481758
45,"3549805","São José do Rio Preto"," São Paulo",480439
46,"1500800","Ananindeua"," Pará",478778
47,"3205200","Vila Velha"," Espírito Santo",467722
48,"4305108","Caxias do Sul"," Rio Grande do Sul",463338
49,"1100205","Porto Velho"," Rondônia",460413
50,"3530607","Mogi das Cruzes"," São Paulo",449955
51,"3525904","Jundiaí"," São Paulo",443116
52,"1600303","Macapá"," Amapá",442933
53,"3305109","São João de Meriti"," Rio de Janeiro",440962
54,"3538709","Piracicaba"," São Paulo",423323
55,"2504009","Campina Grande"," Paraíba",419379
56,"3548500","Santos"," São Paulo",418608
57,"3529401","Mauá"," São Paulo",418261
58,"3143302","Montes Claros"," Minas Gerais",414240
59,"1400100","Boa Vista"," Roraima",413486
60,"3106705","Betim"," Minas Gerais",411859
61,"4115200","Maringá"," Paraná",409657
62,"5201108","Anápolis"," Goiás",398817
63,"3513801","Diadema"," São Paulo",393237
64,"3510609","Carapicuíba"," São Paulo",387121
65,"2611101","Petrolina"," Pernambuco",386786
66,"3506003","Bauru"," São Paulo",379146
67,"2604106","Caruaru"," Pernambuco",378052
68,"2933307","Vitória da Conquista"," Bahia",370868
69,"3523107","Itaquaquecetuba"," São Paulo",369275
70,"1200401","Rio Branco"," Acre",364756
71,"4202404","Blumenau"," Santa Catarina",361261
72,"4119905","Ponta Grossa"," Paraná",358367
73,"2303709","Caucaia"," Ceará",355679
74,"3201308","Cariacica"," Espírito Santo",353510
75,"3516200","Franca"," São Paulo",352537
76,"2609600","Olinda"," Pernambuco",349976
77,"3541000","Praia Grande"," São Paulo",349935
78,"4104808","Cascavel"," Paraná",348051
79,"4304606","Canoas"," Rio Grande do Sul",347657
80,"2610707","Paulista"," Pernambuco",342167
81,"3170107","Uberaba"," Minas Gerais",337846
82,"1506807","Santarém"," Pará",331937
83,"3551009","São Vicente"," São Paulo",329844
84,"3154606","Ribeirão das Neves"," Minas Gerais",329794
85,"4125506","São José dos Pinhais"," Paraná",329222
86,"4314407","Pelotas"," Rio Grande do Sul",325689
87,"3205309","Vitória"," Espírito Santo",322869
88,"3505708","Barueri"," São Paulo",316473
89,"3554102","Taubaté"," São Paulo",310739
90,"3552502","Suzano"," São Paulo",307364
91,"1721000","Palmas"," Tocantins",302692
92,"2905701","Camaçari"," Bahia",299579
93,"5108402","Várzea Grande"," Mato Grosso",299472
94,"3526902","Limeira"," São Paulo",291869
95,"3518701","Guarujá"," São Paulo",287634
96,"2307304","Juazeiro do Norte"," Ceará",286120
97,"4108304","Foz do Iguaçu"," Paraná",285415
98,"3552403","Sumaré"," São Paulo",279546
99,"3303906","Petrópolis"," Rio de Janeiro",278881
100,"4316907","Santa Maria"," Rio Grande do Sul",277205
101,"3513009","Cotia"," São Paulo",273640
102,"3552809","Taboão da Serra"," São Paulo",273542
103,"2105302","Imperatriz"," Maranhão",273110
104,"4216602","São José"," Santa Catarina",270295
105,"1504208","Marabá"," Pará",266536
106,"1505536","Parauapebas"," Pará",266424
107,"4309209","Gravataí"," Rio Grande do Sul",265070
108,"2408003","Mossoró"," Rio Grande do Norte",264577
109,"4208203","Itajaí"," Santa Catarina",264054
110,"3306305","Volta Redonda"," Rio de Janeiro",261584
111,"3127701","Governador Valadares"," Minas Gerais",257172
112,"3520509","Indaiatuba"," São Paulo",255739
113,"3548906","São Carlos"," São Paulo",254822
114,"4204202","Chapecó"," Santa Catarina",254781
